CaseMasterID,hour,severity,facts_length,latitude,longitude
181,20,3,373,12.3322,76.68162
182,0,1,318,12.85182,74.87206
183,3,5,358,12.94789,74.88925
184,5,1,338,12.91353,77.56789
185,9,3,394,12.3743,76.67769
186,15,3,392,15.84568,74.42036
187,8,2,355,12.96753,77.66933
188,22,5,379,15.90429,74.44134
189,11,4,344,15.35077,75.07662
190,6,2,341,15.34499,75.19707
191,1,4,348,12.26044,76.60716
192,18,2,357,12.99986,77.57535
193,6,4,346,15.32573,75.12065
194,5,4,353,15.86359,74.45649
195,4,1,324,15.39369,75.06599
196,20,5,387,12.90591,77.60646
197,20,5,362,15.36396,75.19386
198,2,3,403,12.94826,74.88693
199,17,3,399,12.9176,77.58803
200,23,4,363,12.31355,76.6616
201,4,3,384,12.95297,77.58608
202,2,4,335,12.82781,74.90685
203,2,3,373,12.88834,74.83506
204,22,3,424,15.89088,74.54602
205,19,1,318,15.77958,74.50532
206,0,4,329,12.3091,76.57395
207,19,2,343,15.29394,75.11798
208,22,3,372,12.94672,77.5248
209,19,5,381,12.31844,76.67609
210,13,4,327,13.04586,77.65453
211,19,4,359,15.88616,74.45333
212,20,4,351,12.8341,74.94999
213,20,2,358,15.39222,75.18355
214,3,3,358,15.80717,74.56432
215,18,3,392,12.26388,76.56915
216,3,5,367,15.36861,75.15541
217,1,5,374,12.25186,76.69661
218,13,4,354,15.83185,74.4585
219,19,4,356,15.3815,75.05033
220,1,3,398,12.94312,74.80245
221,20,3,414,12.36222,76.64773
222,3,2,360,12.93125,74.87456
223,9,4,339,12.23915,76.60112
224,13,3,381,12.30697,76.59872
225,3,4,333,12.343,76.58648
226,2,5,388,12.99851,77.63689
227,12,4,329,12.97252,77.57431
228,19,1,327,12.97631,77.55856
229,18,4,360,15.80826,74.51686
230,23,4,331,13.05027,77.61858
231,13,4,346,12.91902,77.59458
232,2,4,371,12.36,76.67017
233,22,4,372,15.89006,74.53173
234,18,5,350,12.37396,76.67527
235,3,2,363,12.91304,74.95278
236,20,3,378,15.8388,74.52645
237,20,4,376,12.8508,74.92542
238,4,1,338,12.24578,76.63121
239,22,5,388,15.82161,74.47934
240,2,4,360,15.87935,74.44482
241,3,3,384,12.93187,77.55405
242,0,3,385,12.94475,77.61383
243,18,2,335,12.94156,74.83214
244,19,3,378,12.27597,76.69004
245,20,1,325,15.92218,74.49156
246,17,4,346,12.26425,76.59983
247,22,2,361,15.36576,75.19126
248,20,4,342,12.32215,76.58601
249,7,1,308,12.933,77.59631
250,2,4,353,15.84977,74.47289
251,5,3,366,12.2657,76.63225
252,1,3,397,15.29545,75.05115
253,23,2,358,12.24371,76.58502
254,0,3,402,15.28937,75.14226
255,0,5,372,12.9026,74.92736
256,12,1,354,15.32668,75.18202
257,17,5,354,12.86326,74.8276
258,19,3,394,12.23466,76.60826
259,16,3,376,15.83739,74.49557
260,18,4,370,12.26613,76.63156
261,23,3,401,15.39832,75.11502
262,8,4,347,12.87602,74.82691
263,6,2,328,12.92162,74.80666
264,0,3,404,12.93365,77.65255
265,23,4,335,15.8258,74.53142
266,4,2,336,12.94773,77.55957
267,0,4,363,13.04564,77.64031
268,22,3,372,15.30745,75.14518
269,3,4,356,12.93981,74.85905
270,23,5,368,12.80013,74.88551
271,4,3,394,12.87757,74.8209
272,1,1,327,15.30458,75.18122
273,14,1,331,12.89473,74.84006
274,20,3,402,12.32068,76.67199
275,23,1,324,15.28599,75.09897
276,20,1,335,12.94174,77.65556
277,12,2,356,12.9956,77.58502
278,18,4,366,13.01199,77.60893
279,19,2,374,15.88509,74.46329
280,20,5,369,13.03527,77.66735
281,20,1,294,15.9276,74.56713
282,20,1,350,12.98558,77.51681
283,12,5,355,15.83617,74.52999
284,6,1,321,12.87181,74.83251
285,23,4,329,15.43725,75.08218
286,4,1,337,12.21783,76.58135
287,19,4,360,12.34078,76.6024
288,21,4,337,15.78203,74.49053
289,18,2,331,12.99946,77.53305
290,17,4,347,12.36479,76.6966
291,18,2,377,12.95125,77.59493
292,1,5,370,12.92518,74.85237
293,3,4,328,12.88963,74.87423
294,18,1,326,15.32198,75.09943
295,17,4,394,15.83687,74.57149
296,9,2,364,12.91296,77.64579
297,3,5,357,12.8404,74.92813
298,4,5,354,12.33902,76.57684
299,1,5,370,12.82322,74.84933
300,23,1,337,15.8041,74.55475
301,0,5,367,12.94851,74.80497
302,2,1,335,12.21771,76.69226
303,13,5,353,12.802,74.95955
304,8,1,307,12.79683,74.87376
305,20,4,371,12.2598,76.63076
306,22,3,367,12.81196,74.83191
307,4,3,387,12.87712,74.87755
308,21,4,339,15.77439,74.54741
309,21,2,351,12.92061,74.94676
310,19,3,378,15.89869,74.52932
311,21,2,380,15.33415,75.12247
312,3,4,370,15.89873,74.47222
313,4,2,325,15.30087,75.09228
314,21,4,338,15.91204,74.51589
315,21,4,351,12.21609,76.67172
316,22,1,311,15.91957,74.4402
317,0,4,364,12.82993,74.81085
318,8,3,395,15.37206,75.06023
319,22,3,368,12.89481,77.55638
320,17,1,329,15.82377,74.57534
321,7,3,392,12.92449,77.545
322,3,1,319,12.22374,76.65088
323,12,3,411,15.80165,74.42182
324,13,3,374,15.36296,75.14977
325,21,3,384,12.22294,76.62976
326,9,1,336,12.9985,77.64391
327,21,2,362,15.42576,75.1202
328,19,4,364,15.43655,75.07075
329,7,4,326,12.93627,74.81072
330,1,5,356,13.00367,77.60861
331,6,1,330,12.98163,77.53076
332,3,2,351,15.84539,74.44525
333,2,3,412,15.42823,75.04724
334,0,4,353,12.26388,76.6784
335,22,5,344,15.82953,74.42669
336,21,2,350,15.77433,74.44854
337,15,5,357,12.86427,74.86351
338,4,5,385,12.29173,76.64761
339,20,1,311,12.85185,74.82607
340,18,2,358,15.28791,75.16885
341,13,5,338,15.92058,74.53174
342,11,3,396,15.31961,75.09234
343,15,2,331,12.89357,74.89745
344,2,3,387,12.89498,74.95235
345,13,3,364,15.87538,74.52662
346,4,2,328,13.00489,77.60613
347,18,5,382,12.8172,74.90522
348,13,5,377,15.91572,74.56921
349,9,3,380,12.91609,74.85301
350,4,2,355,15.92079,74.42909
351,1,4,365,12.37458,76.61423
352,8,1,334,12.96393,77.5481
353,20,4,333,15.35341,75.11264
354,18,5,369,12.92332,74.83049
355,22,1,348,12.27717,76.65359
356,3,3,396,12.93208,74.95928
357,9,4,328,12.37338,76.59319
358,14,5,362,12.87556,74.80777
359,3,3,392,15.30448,75.08444
360,0,3,396,15.86935,74.52982
361,18,4,354,15.89417,74.55074
362,8,1,343,12.21784,76.57364
363,23,3,386,12.99469,77.58768
364,0,3,364,12.91826,74.85003
365,0,3,370,12.273,76.62943
366,16,3,385,15.43867,75.08749
367,0,4,333,12.33203,76.71645
368,2,5,373,15.34208,75.04861
369,5,3,368,12.9964,77.51658
370,23,2,363,12.8737,74.91209
371,4,2,353,15.77843,74.52064
372,4,3,394,15.32324,75.19922
373,3,3,392,12.96267,77.60629
374,10,3,409,15.29043,75.13186
375,1,3,378,15.34283,75.05268
376,21,4,327,12.86241,74.81559
377,2,4,338,12.80701,74.9435
378,17,5,355,12.95446,77.58773
379,9,1,342,15.89324,74.48978
380,16,3,381,15.9176,74.54267
381,22,2,325,15.91093,74.49836
382,2,4,372,12.28184,76.6714
383,6,4,351,12.31981,76.71273
384,15,2,367,15.376,75.15075
385,19,1,302,12.95254,77.52309
386,0,4,368,12.91058,74.80517
387,3,3,403,15.35135,75.1701
388,13,5,398,15.32079,75.14541
389,18,3,392,12.28761,76.71675
390,18,3,372,15.79051,74.51114
391,2,1,343,15.89349,74.51776
392,6,2,358,12.22671,76.64022
393,5,3,402,12.84773,74.83495
394,22,3,371,12.82846,74.90276
395,4,4,327,15.81495,74.56351
396,6,3,373,12.29802,76.71111
397,6,5,362,12.32546,76.69311
398,22,1,348,12.28928,76.61247
399,23,3,404,12.28102,76.63158
400,22,1,346,15.89065,74.5114
401,19,5,379,12.93827,74.86103
402,3,5,341,15.4123,75.13132
403,6,1,330,12.22248,76.65103
404,19,4,375,15.79545,74.45303
405,4,3,395,12.90731,77.63069
406,4,1,341,15.91372,74.46855
407,17,3,380,12.81698,74.85011
408,3,3,387,12.86406,74.8574
409,23,5,354,12.92223,74.94261
410,9,4,321,15.77469,74.5108
411,9,4,343,15.40873,75.10253
412,11,3,386,12.94982,77.51629
413,2,4,367,12.30642,76.64993
414,1,2,361,12.36104,76.6172
415,9,4,339,15.90244,74.55128
416,5,2,378,12.93185,77.67023
417,4,2,362,15.28576,75.18513
418,14,4,359,12.27376,76.67417
419,20,4,352,15.87326,74.48344
420,12,2,333,12.36912,76.6553
421,9,4,339,15.3198,75.10972
422,19,1,305,15.80647,74.47937
423,20,1,308,15.79809,74.56196
424,13,2,342,12.30209,76.55959
425,9,5,360,12.29294,76.68239
426,22,5,397,12.22921,76.65513
427,13,2,329,12.97521,77.59776
428,23,3,369,12.32005,76.59998
429,19,3,412,12.30414,76.64861
430,1,5,389,12.90288,74.91773
431,11,4,353,12.97293,77.64037
432,23,3,391,12.36394,76.62906
433,10,3,382,15.38293,75.12736
434,19,5,402,12.3209,76.68803
435,4,4,343,12.22157,76.59768
436,22,3,414,15.37847,75.12684
437,8,4,335,12.88702,74.83112
438,8,5,357,12.97373,77.55583
439,1,5,360,12.27015,76.6835
440,21,4,327,15.41088,75.07926
441,21,4,345,13.02475,77.55432
442,0,3,404,12.26602,76.59437
443,11,5,357,12.25826,76.59607
444,2,2,398,15.28576,75.18113
445,21,3,394,15.83336,74.53773
446,16,5,368,15.39451,75.07197
447,23,3,410,12.30876,76.61147
448,22,3,365,15.82825,74.4975
449,0,2,375,12.23678,76.65154
450,18,5,388,12.36926,76.58333
451,7,4,348,15.82022,74.49556
452,0,5,367,12.25649,76.69364
453,18,5,374,15.81093,74.42087
454,15,4,365,15.9264,74.46324
455,22,5,354,12.24261,76.68863
456,0,4,346,12.84016,74.90448
457,14,4,346,12.35247,76.57941
458,0,1,317,13.01495,77.59844
459,5,4,334,12.26127,76.65964
460,0,5,374,12.86618,74.956
461,23,2,371,15.84275,74.53753
462,23,5,352,12.23013,76.60866
463,3,3,384,12.26168,76.64502
464,22,4,355,15.89718,74.50541
465,16,1,324,12.85756,74.83833
466,1,4,366,15.42126,75.07319
467,0,4,342,12.89954,77.6002
468,19,3,392,12.28304,76.68512
469,20,1,303,15.37161,75.07306
470,0,4,342,15.40272,75.04936
471,21,3,381,12.9686,77.56241
472,21,1,336,12.81678,74.84418
473,23,3,402,12.33913,76.5992
474,21,4,354,12.30162,76.57658
475,23,1,330,12.32608,76.61671
476,1,4,372,15.37537,75.13098
477,4,2,332,12.84874,74.80012
478,19,4,340,12.80013,74.95475
479,22,4,339,15.33622,75.0594
480,14,4,386,15.3005,75.13536
481,19,5,358,15.29749,75.17216
482,2,5,356,12.99031,77.59924
483,22,2,361,12.27745,76.5903
484,0,3,365,15.87762,74.53011
485,3,2,374,12.37555,76.63028
486,7,2,377,12.82852,74.8873
487,18,3,396,12.98692,77.59742
488,3,2,350,12.8718,74.89131
489,23,2,323,12.82998,74.841
490,8,4,387,15.36282,75.18784
491,22,5,388,12.9451,77.65537
492,2,1,319,15.87112,74.51885
493,0,4,384,12.22388,76.67645
494,21,1,293,12.86614,74.91925
495,19,2,377,15.3164,75.10725
496,23,5,365,12.85881,74.90956
497,4,3,391,12.88502,74.80387
498,19,1,332,15.43257,75.08136
499,0,1,333,12.84492,74.92868
500,3,2,324,15.88976,74.50551
501,21,3,382,12.92371,77.62604
502,20,5,363,12.80726,74.8468
503,4,5,361,15.38024,75.05808
504,19,3,359,15.82307,74.48064
505,19,5,358,12.79992,74.84123
506,11,1,317,12.33258,76.64271
507,2,3,379,15.84157,74.43878
508,23,4,338,12.90282,74.88381
509,3,2,373,15.92148,74.43664
510,3,4,336,15.4341,75.18706
511,10,2,355,15.8124,74.50843
512,13,4,356,15.36507,75.14075
513,22,3,404,13.01393,77.517
514,1,3,397,12.35454,76.63779
515,10,4,332,15.33476,75.14184
516,5,3,368,15.41702,75.05079
517,1,4,375,12.93819,77.57829
518,16,1,329,15.40032,75.06211
519,23,2,360,15.42816,75.18733
520,17,4,339,12.9635,77.57267
521,14,1,309,15.40762,75.18996
522,18,4,337,12.91298,74.8714
523,10,3,380,15.42157,75.13096
524,7,3,427,15.2974,75.14002
525,20,4,358,12.22461,76.61524
526,7,2,362,12.89575,74.91198
527,23,3,372,12.84897,74.86063
528,20,3,382,12.87433,74.88394
529,1,3,404,13.00745,77.61136
530,3,2,323,15.82632,74.43845
531,1,4,363,12.79025,74.80384
532,22,1,325,12.3183,76.6698
533,18,3,391,12.85337,74.89103
534,6,4,333,12.91332,77.53946
535,6,3,384,15.86009,74.52621
536,4,1,336,12.94514,74.84487
537,3,1,321,15.90803,74.53795
538,18,5,345,15.43682,75.07858
539,3,3,404,12.97256,77.64244
540,15,4,344,12.91312,74.81572
541,4,1,338,12.89993,74.89509
542,1,4,345,12.93274,74.85134
543,7,4,366,12.25958,76.56184
544,4,2,379,12.82917,74.8114
545,18,1,335,12.95298,77.52838
546,6,3,395,12.92079,74.91406
547,1,1,339,15.35759,75.15352
548,1,4,383,15.39664,75.15043
549,17,2,330,12.88195,74.88127
550,7,3,414,15.37919,75.08217
551,6,3,377,15.89519,74.48736
552,18,2,323,15.84377,74.50651
553,20,3,399,15.36379,75.14963
554,11,4,330,12.23967,76.6444
555,17,5,345,15.91581,74.46643
556,19,3,407,15.90532,74.5541
557,21,5,372,12.79499,74.86907
558,19,2,358,15.31849,75.07175
559,3,4,375,12.21766,76.66314
560,7,3,397,15.86942,74.4904
561,17,2,366,15.28589,75.12371
562,16,3,397,15.88248,74.43581
563,2,1,354,15.85344,74.51531
564,4,3,373,12.97721,77.51633
565,2,3,387,12.8168,74.91121
566,19,2,332,12.22406,76.71786
567,1,2,376,12.26076,76.69666
568,5,3,394,12.341,76.59719
569,22,5,389,12.29515,76.71837
570,1,4,343,15.90439,74.42639
571,20,4,331,15.43642,75.19159
572,15,1,350,15.33091,75.17157
573,0,2,379,15.43159,75.18134
574,4,4,324,12.3233,76.68268
575,0,1,317,12.9574,77.59864
576,10,1,349,15.7788,74.51276
577,18,5,361,15.92445,74.56106
578,3,3,393,15.4078,75.15476
579,18,3,372,15.33792,75.05361
580,11,1,332,15.30772,75.16699
581,19,1,324,12.98302,77.5547
582,8,3,382,15.30896,75.09677
583,6,5,362,15.40114,75.17396
584,4,1,325,15.37546,75.19361
585,13,1,298,12.92459,74.92167
586,12,1,331,15.3856,75.10148
587,2,3,405,12.278,76.68624
588,1,1,343,12.84403,74.91536
589,3,4,355,15.91767,74.4236
590,4,3,404,13.02292,77.53017
591,23,5,369,15.8682,74.4278
592,20,4,372,15.82115,74.57205
593,20,2,359,12.8164,74.83898
594,17,1,337,15.28572,75.07271
595,22,4,351,12.31817,76.64309
596,0,2,380,12.9293,77.5334
597,15,3,364,12.22429,76.57743
598,4,4,340,12.94987,77.54813
599,22,4,346,12.34148,76.63701
600,19,3,377,12.92805,77.55254
601,20,4,356,15.31929,75.14151
602,1,1,335,15.8146,74.43548
603,23,4,368,15.8622,74.50614
604,9,4,356,15.42432,75.08365
605,5,3,382,13.00896,77.59527
606,20,1,321,12.30516,76.56139
607,19,4,353,12.90253,74.93727
608,4,5,350,12.99197,77.57618
609,23,2,350,15.86174,74.45084
610,18,3,376,15.35916,75.05054
611,13,4,356,12.3728,76.59758
612,4,1,347,12.80014,74.85524
613,19,3,365,15.89768,74.56896
614,3,1,322,12.91796,77.53252
615,19,4,366,15.84552,74.48492
616,14,4,343,12.89337,74.85221
617,21,4,373,15.91343,74.46674
618,17,4,339,12.30145,76.58856
619,20,2,355,12.81024,74.84167
620,19,2,326,15.44077,75.12938
621,17,4,329,12.97898,77.59579
622,1,4,325,15.9148,74.48844
623,0,1,349,15.81899,74.48196
624,23,5,368,12.36551,76.60387
625,21,4,370,15.36317,75.14051
626,23,3,371,12.83929,74.87129
627,10,4,346,15.42813,75.06633
628,23,3,361,15.78028,74.57132
629,18,4,325,15.37557,75.19038
630,21,5,363,12.88363,74.87906
631,18,1,324,15.38931,75.18683
632,23,4,347,15.82758,74.49458
633,3,1,323,15.90494,74.44376
634,21,3,402,12.85712,74.94594
635,3,5,383,12.23092,76.67982
636,6,3,381,12.89967,74.91014
637,0,3,379,12.91461,74.86592
638,17,4,356,15.90273,74.5018
639,2,1,339,12.29252,76.60925
640,16,1,316,12.90911,74.81898
641,20,1,353,12.89461,77.59208
642,14,1,342,15.43006,75.05093
643,9,4,320,12.27205,76.57392
644,20,1,348,13.02273,77.63672
645,19,4,373,13.03888,77.65081
646,1,2,335,12.25221,76.57746
647,1,2,373,12.90554,74.81316
648,22,3,381,15.81619,74.55456
649,15,4,346,15.30153,75.11409
650,22,1,334,15.88833,74.56049
651,9,4,342,15.36456,75.16637
652,23,3,380,15.79328,74.49044
653,20,5,372,12.90252,77.6231
654,3,1,302,15.89133,74.52347
655,19,2,372,12.84498,74.93755
656,18,5,390,12.85021,74.87354
657,8,4,355,15.33469,75.10625
658,15,3,411,15.36385,75.19934
659,19,5,368,12.27443,76.68893
660,22,3,385,12.8462,74.9058
661,20,1,320,12.84402,74.80315
662,20,2,376,15.28826,75.09464
663,4,3,371,12.29528,76.68923
664,21,5,387,13.02765,77.54885
665,0,4,345,13.02667,77.52976
666,2,5,373,12.80227,74.9318
667,18,2,332,12.87246,74.90745
668,0,4,343,12.36974,76.67815
669,2,3,382,12.2898,76.59786
670,15,3,381,15.41649,75.14737
671,7,4,368,13.01913,77.56429
672,3,4,351,12.87811,74.90309
673,14,5,388,12.80017,74.95281
674,5,4,383,12.23371,76.67692
675,23,4,340,15.83209,74.53744
676,6,3,372,15.32539,75.13832
677,2,3,381,12.35651,76.70932
678,16,5,380,13.00991,77.64243
679,1,4,347,12.94336,74.85806
680,2,3,383,15.33284,75.19381
681,2,5,389,15.29012,75.18263
682,18,5,365,12.91725,77.55636
683,13,3,389,12.90123,74.92192
684,4,4,349,12.26469,76.65153
685,18,3,402,12.86654,74.91763
686,8,3,409,12.95042,77.57756
687,21,4,371,15.32659,75.18029
688,15,4,335,12.97573,77.63834
689,20,3,384,12.90943,74.86113
690,23,4,368,15.35006,75.06735
691,15,4,319,15.42413,75.1999
692,14,4,379,12.86535,74.85669
693,18,4,344,12.94489,74.88953
694,2,3,365,15.79239,74.43639
695,3,2,357,12.92273,74.94827
696,20,1,323,15.31493,75.05273
697,1,3,386,12.94864,77.62804
698,4,4,355,13.03051,77.5435
699,19,5,370,12.2955,76.57449
700,14,4,361,12.79462,74.87364
701,1,4,362,15.80352,74.42549
702,21,1,318,15.28798,75.07732
703,19,4,346,12.88656,74.85745
704,19,2,358,12.88605,74.81444
705,15,3,376,15.92542,74.52593
706,2,3,385,12.96652,77.52727
707,20,3,381,15.81698,74.42534
708,23,4,338,15.39995,75.17405
709,23,4,367,15.41049,75.17887
710,23,4,370,12.24541,76.67892
711,3,3,433,15.39539,75.183
712,19,5,358,15.33313,75.06401
713,12,3,409,12.31958,76.66336
714,3,4,377,15.36054,75.04749
715,0,5,370,15.90311,74.42585
716,3,2,355,15.88667,74.57754
717,22,2,371,12.89464,77.60682
718,4,4,340,15.82518,74.5293
719,17,4,347,15.86373,74.5273
720,14,2,340,12.24895,76.66991
721,22,5,356,12.95816,77.6736
722,20,4,351,12.81538,74.93247
723,18,1,302,12.30572,76.63722
724,1,2,345,15.87682,74.53072
725,19,1,325,15.79643,74.43659
726,1,4,366,12.99513,77.56814
727,19,4,355,15.78334,74.47729
728,19,3,384,15.43699,75.12658
729,21,3,385,12.85426,74.92358
730,7,3,366,15.83679,74.55943
731,0,2,336,12.88766,74.8235
732,6,5,389,15.31627,75.09225
733,2,2,346,15.81513,74.43255
734,23,2,340,15.81109,74.55086
735,0,3,379,15.78951,74.53875
736,6,2,339,15.88404,74.56771
737,3,4,346,12.27623,76.6774
738,21,4,338,12.28391,76.62533
739,21,4,345,12.8742,74.89412
740,4,4,335,15.44042,75.17581
741,2,5,362,15.85436,74.52882
742,5,1,324,15.30404,75.13548
743,21,5,385,12.91446,77.64001
744,22,1,330,15.30427,75.09978
745,4,5,378,15.39991,75.14091
746,14,5,374,12.33226,76.57369
747,13,1,349,15.92299,74.56011
748,6,4,341,12.9811,77.54539
749,0,1,332,12.99692,77.5997
750,19,2,332,15.82097,74.51192
751,4,3,388,15.29926,75.20077
752,18,4,354,15.31177,75.14232
753,21,3,406,12.35868,76.60067
754,21,5,347,15.85041,74.5696
755,0,3,407,12.99297,77.6608
756,0,4,336,15.89533,74.46644
757,0,5,348,12.25503,76.71182
758,0,4,343,12.94553,74.80009
759,6,2,364,12.35031,76.60441
760,20,4,347,12.30484,76.60411
761,3,5,356,12.90324,74.84368
762,18,4,346,12.36336,76.65681
763,19,5,379,13.03188,77.6188
764,18,5,372,15.38091,75.10588
765,18,4,337,12.21897,76.60438
766,17,3,394,15.29059,75.12285
767,14,2,362,12.87005,74.82728
768,21,4,349,12.22621,76.60094
769,7,4,334,13.00004,77.61291
770,15,3,390,12.92509,74.8651
771,3,1,325,12.26027,76.62661
772,19,4,359,12.28361,76.57131
773,4,3,386,15.41399,75.1388
774,22,5,347,12.79871,74.85337
775,20,2,379,15.30467,75.19992
